,id,datetime,origin_lat,origin_lng,origin_state,destination_lat,destination_lng,destination_state,datatype,distance,Destination_zones,Origin_zones
0,43799,2017-08-20 16:52:02.801102+00:00,23.42057651590747,87.87759845815717,West Bengal,10.379489953308632,78.17426425130739,Tamil Nadu,orders,1778.3336798172913,0,20
1,16706,2017-02-25 07:38:52.889655+00:00,16.50646422807049,80.76705569197803,Andhra Pradesh,25.818719541880792,88.35316026134878,West Bengal,orders,1299.5881433018576,1,0
2,9805,2016-12-10 12:02:36.852382+00:00,16.447239774937437,80.44901774819239,Andhra Pradesh,17.262522744306278,78.40363322497018,Telangana,orders,235.7870399828894,2,10
3,6345,2018-09-29 09:51:23.221983+00:00,17.003426095169758,81.65032257852151,Andhra Pradesh,17.78849295270006,83.30622828646709,Andhra Pradesh,new_ops,196.19497571424142,3,15
4,34278,2017-07-12 09:23:14.652763+00:00,23.263690584017027,87.9611342219333,West Bengal,16.88228286174507,81.64987438017135,Andhra Pradesh,orders,968.1441548575575,4,20
5,21819,2019-02-21 14:15:51.497936+00:00,16.39500263019734,80.49845020738562,Andhra Pradesh,13.20460170861187,80.25137065440946,Tamil Nadu,new_ops,355.74913614844695,5,10
6,56784,2018-09-25 08:23:38.724444+00:00,23.469390581667206,72.36354333618614,Gujarat,28.75626885188219,77.39742029447615,Delhi,orders,773.2210646956588,6,1
7,50103,2018-02-06 11:21:43.071021+00:00,16.91094424515899,81.42297564300992,Andhra Pradesh,20.85070835427614,73.18175835809978,Gujarat,orders,971.1834845380399,7,15
8,52089,2018-03-25 08:26:16.159534+00:00,16.72709068752252,81.1386545852085,Andhra Pradesh,22.75102933728381,88.7423016739373,West Bengal,orders,1039.7436043316447,8,15
9,16986,2019-01-01 04:56:57.859553+00:00,16.823722553587267,81.44642546055692,Andhra Pradesh,17.50671744134097,78.56973404027545,Telangana,new_ops,314.915220524239,9,15
10,4953,2018-03-07 13:00:50.626531+00:00,13.258761952796313,80.36614422048089,Tamil Nadu,26.241810550689053,91.83518793529133,Assam,old_ops,1875.0120659392762,10,22
11,28432,2019-03-26 13:27:07.864302+00:00,16.4482038538225,81.07049854092315,Andhra Pradesh,25.70099784157019,85.40968270068707,Bihar,new_ops,1122.7693451708126,11,0
12,20578,2019-02-15 04:49:22.500996+00:00,16.559317971397537,80.79410897079961,Andhra Pradesh,13.074217145063669,77.6926160672483,Karnataka,new_ops,511.16558033407347,12,0
13,35125,2017-07-20 00:10:47.135411+00:00,23.553594446994264,87.31867240127401,West Bengal,26.847125352392915,80.94667863949293,Uttar Pradesh,orders,738.1474512428781,13,16
14,35260,2017-07-20 11:40:25.210185+00:00,10.22252181098216,76.57358189725505,Kerala,18.544825797750057,74.13465592547497,Maharashtra,orders,961.8857675236903,14,25
15,48984,2019-05-07 04:58:51.851614+00:00,16.49798688638794,80.59326686021164,Andhra Pradesh,10.106772235392025,76.42424390881746,Kerala,new_ops,841.6206601056485,15,10
16,2778,2017-09-25 11:01:42.254472+00:00,18.302215693970993,83.51219301532313,Andhra Pradesh,22.49688447017858,88.17640312502014,West Bengal,old_ops,673.5657792416035,16,9
17,23640,2019-03-01 08:12:08.609802+00:00,16.680346310938702,80.8640072146262,Andhra Pradesh,26.9154796649755,75.9806891291369,Rajasthan,new_ops,1244.359211821988,17,0
18,1123,2018-07-29 10:16:35.225930+00:00,23.889599385910714,72.42399185334831,Gujarat,22.970144458148212,69.9210306271139,Gujarat,new_ops,275.06742600120555,18,27
19,33066,2017-07-10 01:03:37.780492+00:00,14.404506003771656,80.22440998680992,Andhra Pradesh,16.47592999560105,80.59659698404873,Andhra Pradesh,orders,233.76031961548833,19,3
20,42537,2017-08-11 00:31:46.670690+00:00,18.194643514105103,83.46023309683609,Andhra Pradesh,23.240852356564343,87.86303702528839,West Bengal,orders,724.1019003653189,20,9
21,13047,2017-01-08 08:47:13.127600+00:00,17.150718203080164,81.91063443351251,Andhra Pradesh,23.129419403010843,72.7085419548837,Gujarat,orders,1167.653755924868,21,15
22,55258,2018-08-06 06:49:12.260918+00:00,22.739177700315274,72.96219773470105,Gujarat,22.724125304173334,76.05624000499816,Madhya Pradesh,orders,317.3169299293915,22,1
23,8464,2018-10-08 05:02:06.331499+00:00,17.00146230920582,81.84303006434958,Andhra Pradesh,30.050351963320228,77.73887425328327,Uttar Pradesh,new_ops,1509.7004935422535,23,15
24,58856,2019-01-09 05:08:14.070998+00:00,16.90042162590464,80.9055404351494,Andhra Pradesh,12.50896453681087,75.9500516550151,Karnataka,orders,722.7241301030336,24,6
25,35914,2017-07-21 18:56:02.678769+00:00,14.478754503283511,80.0908443790387,Andhra Pradesh,11.534546033016825,78.05077220955339,Tamil Nadu,orders,394.99111430224355,25,3
26,141,2017-08-13 13:09:11.153109+00:00,16.46619988862694,80.57602911953012,Andhra Pradesh,16.30478808372882,74.9285605188441,Karnataka,old_ops,602.7127509300149,26,10
27,51368,2018-03-08 09:35:16.278455+00:00,14.279682550493202,80.20540978460834,Andhra Pradesh,15.769088223288911,79.2750465919686,Andhra Pradesh,orders,193.41786272759842,27,3
28,12253,2017-01-07 14:59:06.139046+00:00,16.321760159524906,80.53470556506288,Andhra Pradesh,8.693549609289317,77.29823834068706,Tamil Nadu,orders,917.9878155877917,28,10
29,17200,2017-03-02 07:10:54.188329+00:00,17.21676127723316,82.32719397529054,Andhra Pradesh,10.855771921168206,77.03047072488809,Tamil Nadu,orders,909.0402340683468,29,15
