,id,datetime,origin_lat,origin_lng,origin_state,destination_lat,destination_lng,destination_state,datatype,distance,Destination_zones,Origin_zones
0,28904,2017-05-17 06:19:09.923423+00:00,16.588748231811827,80.85358745677185,Andhra Pradesh,17.13454627347275,81.88644343348847,Andhra Pradesh,orders,125.55281100551387,4,0
1,37309,2019-04-12 11:48:16.455886+00:00,23.314173478411952,72.66040118194952,Gujarat,22.632492735171255,88.40620174750183,West Bengal,new_ops,1612.9767900465183,8,1
2,34214,2017-07-12 09:14:49.481976+00:00,21.99837456445012,87.25697465048458,West Bengal,17.04939819246353,82.39509375147283,Andhra Pradesh,orders,749.8096936510046,4,2
3,38942,2017-08-01 00:05:05.535398+00:00,14.389093956144569,80.1883528707279,Andhra Pradesh,14.46188130349342,80.13892907852475,Andhra Pradesh,orders,9.68680227798821,31,3
4,32470,2017-07-04 10:39:39.550057+00:00,28.843673692028204,77.62089699199824,Uttar Pradesh,32.743471765111984,75.02172644447064,Jammu and Kashmir,orders,499.6268970783712,30,4
5,44874,2017-09-13 04:44:50.427724+00:00,8.859710334528414,78.09027181050976,Tamil Nadu,16.49761083977996,80.49530617825607,Andhra Pradesh,orders,888.4025095380856,19,5
6,28706,2017-05-14 17:37:55.345803+00:00,17.394536983665365,80.2735525050195,Telangana,9.959973034151428,76.28820481779789,Kerala,orders,931.9341854776403,15,6
7,26590,2017-04-28 17:37:23.793476+00:00,19.700636412996335,73.5945838504195,Maharashtra,29.99348507272803,78.19648172273338,Uttarakhand,orders,1234.7251064265097,23,7
8,47320,2017-10-29 05:13:55.424030+00:00,10.97880053533894,78.09764735826141,Tamil Nadu,26.75287839961632,92.85483924381911,Assam,orders,2337.8533458910156,20,8
9,48593,2017-11-29 12:33:59.149595+00:00,17.955766539788726,83.40197254463153,Andhra Pradesh,15.840221044141474,80.42124675900416,Andhra Pradesh,orders,394.83232175385683,27,9
10,38085,2017-07-29 01:11:00.813833+00:00,16.302709613443582,80.47475330566755,Andhra Pradesh,14.389846557076561,80.13291005458993,Andhra Pradesh,orders,215.8357615579079,31,10
11,24569,2017-04-11 19:40:02.761518+00:00,22.80998915503348,75.9311798321945,Madhya Pradesh,18.06091115440805,79.78314376361314,Telangana,orders,663.1860500569361,27,11
12,45335,2017-09-22 15:50:20.419183+00:00,23.080688722998822,70.32529513932333,Gujarat,15.413556182133103,75.19143953135688,Karnataka,orders,993.6045735198973,26,12
13,31932,2019-04-03 06:28:47.865357+00:00,21.29369026679951,79.27552329163234,Maharashtra,17.506102509059012,78.56453518913332,Telangana,new_ops,427.7078925011231,9,13
14,37993,2019-04-13 10:52:06.429718+00:00,17.5317480096346,78.60096873966492,Telangana,22.76206265303128,88.49025260579651,West Bengal,new_ops,1184.331484485502,8,14
15,49295,2018-01-05 11:57:56.555056+00:00,16.92944677808296,81.67962415698454,Andhra Pradesh,26.165655264838964,91.73908059627045,Assam,orders,1460.6004727775548,10,15
16,26263,2017-04-26 21:30:59.362990+00:00,24.298093293443667,88.02845616743566,West Bengal,22.702868414068742,89.03274136676713,West Bengal,orders,204.81819404064527,8,16
17,61848,2019-06-07 05:05:42.185782+00:00,11.9993905917516,79.83857903187749,Tamil Nadu,17.493039628449523,78.63182355185909,Telangana,new_ops,624.4842531502094,9,17
18,30082,2017-06-05 12:11:36.182377+00:00,13.455473089970011,77.78955270632731,Karnataka,13.841215735022281,77.52556622060695,Andhra Pradesh,orders,51.51167931603909,2,18
19,16761,2017-02-26 08:45:15.235397+00:00,20.555415669487612,85.99230369934348,Odisha,22.32240364790078,87.50982465874364,West Bengal,orders,251.5369192639777,16,19
20,59478,2019-03-09 14:29:05.944509+00:00,22.8497136631181,88.31241054125812,West Bengal,26.249703416532874,91.8900730921853,Assam,orders,523.2592592946951,10,20
21,7934,2018-07-02 06:15:04.320990+00:00,25.432267307776627,83.68944539968884,Bihar,17.474161770040947,78.58856293655215,Telangana,old_ops,1030.069060115434,9,21
22,45623,2019-04-27 10:30:42.483141+00:00,13.272101393280126,80.36856195013061,Tamil Nadu,16.429292525108522,80.55739777897365,Andhra Pradesh,new_ops,351.6496642355792,19,22
23,23079,2017-04-04 23:51:09.100539+00:00,26.16761858359744,91.93414911535714,Assam,16.545692833225054,80.73531195926559,Andhra Pradesh,orders,1576.2371075484311,19,23
24,6194,2016-09-01 14:39:16.519287+00:00,31.21649385414506,75.44804315697759,Punjab,16.735575183280147,81.6574086455761,Andhra Pradesh,orders,1728.384298605746,4,24
25,57260,2018-10-11 05:23:21.994249+00:00,10.621770828667756,76.82848373872918,Kerala,10.093995896903355,76.42561625607229,Kerala,orders,73.3887071701424,15,25
26,51552,2018-03-13 07:52:31.471635+00:00,16.90229521060614,78.00851878441546,Telangana,17.098672983171344,78.4004300122932,Telangana,orders,47.04849783508356,2,26
27,48323,2017-11-19 07:09:15.882324+00:00,23.894043978544666,72.48191341367529,Gujarat,22.842324841441744,69.79936258229375,Gujarat,orders,297.7378152999187,18,27
28,17902,2019-01-21 10:26:52.021006+00:00,20.60278857359166,82.9564021723018,Odisha,23.145392834371254,88.88264572173281,West Bengal,new_ops,673.6167485793598,16,28
29,28411,2017-05-09 03:00:00.732200+00:00,25.47581993556146,74.77068511467749,Rajasthan,17.536436384106977,78.5026941599935,Telangana,orders,963.3676880271182,9,29
