id,datetime,origin_lat,origin_lng,origin_state,destination_lat,destination_lng,destination_state
929,2016-09-28 06:30:00+00:00,17.9689008,79.5940544,Telangana,22.6699915,88.9454091,West Bengal
351,2017-02-02 06:30:00+00:00,16.7106604,81.0952431,Andhra Pradesh,11.0168445,76.9558321,Tamil Nadu
352,2017-02-02 06:30:00+00:00,16.5061743,80.6480153,Andhra Pradesh,11.0168445,76.9558321,Tamil Nadu
353,2017-02-02 06:30:00+00:00,20.462521,85.8829895,Odisha,14.4425987,79.986456,Andhra Pradesh
354,2017-02-02 06:30:00+00:00,14.4425987,79.986456,Andhra Pradesh,16.4410255,80.9926327,Andhra Pradesh
355,2017-02-02 06:30:00+00:00,16.7106604,81.0952431,Andhra Pradesh,16.2990649,80.3867417,Andhra Pradesh
356,2017-02-02 06:30:00+00:00,22.34601,87.2319753,West Bengal,17.2444836,81.1313111,Telangana
357,2017-02-02 06:30:00+00:00,17.5941336,80.322363,Telangana,16.6385059,80.9705292,Andhra Pradesh
358,2017-02-02 06:30:00+00:00,17.389285,78.4588539,Telangana,23.1793013,75.7849097,Madhya Pradesh
359,2017-02-02 06:30:00+00:00,15.801999,80.340958,Andhra Pradesh,10.4489188,77.5209392,Tamil Nadu
360,2017-02-02 06:30:00+00:00,10.6572737,77.0106693,Tamil Nadu,15.5057232,80.049922,Andhra Pradesh
350,2017-02-02 06:30:00+00:00,16.3066525,80.4365402,Andhra Pradesh,10.4489188,77.5209392,Tamil Nadu
361,2017-02-04 06:30:00+00:00,16.7849906,80.8488498,Andhra Pradesh,12.9715987,77.5945627,Karnataka
362,2017-02-04 06:30:00+00:00,17.385044,78.486671,Telangana,13.2218054,79.1010442,Andhra Pradesh
363,2017-02-04 06:30:00+00:00,16.3066525,80.4365402,Andhra Pradesh,10.5845698,77.2514456,Tamil Nadu
364,2017-02-04 06:30:00+00:00,11.0168445,76.9558321,Tamil Nadu,16.5061743,80.6480153,Andhra Pradesh
365,2017-02-04 06:30:00+00:00,19.0759837,72.8776559,Maharashtra,23.022505,72.5713621,Gujarat
366,2017-02-04 06:30:00+00:00,22.3038945,70.8021599,Gujarat,19.0759837,72.8776559,Maharashtra
367,2017-02-04 06:30:00+00:00,8.7641661,78.1348361,Tamil Nadu,16.5061743,80.6480153,Andhra Pradesh
368,2017-02-06 06:30:00+00:00,16.7106604,81.0952431,Andhra Pradesh,17.329731,76.8342957,Karnataka
369,2017-02-06 06:30:00+00:00,16.699377,81.4635486,Andhra Pradesh,23.2248593,88.3482188,West Bengal
370,2017-02-06 06:30:00+00:00,11.9138598,79.8144722,Puducherry,16.5061743,80.6480153,Andhra Pradesh
371,2017-02-06 06:30:00+00:00,16.140892,80.196715,Andhra Pradesh,10.4489188,77.5209392,Tamil Nadu
372,2017-02-06 06:30:00+00:00,10.7904833,78.7046725,Tamil Nadu,16.5061743,80.6480153,Andhra Pradesh
373,2017-02-06 06:30:00+00:00,22.7195687,75.8577258,Madhya Pradesh,16.3066525,80.4365402,Andhra Pradesh
374,2017-02-06 06:30:00+00:00,16.3066525,80.4365402,Andhra Pradesh,22.7195687,75.8577258,Madhya Pradesh
375,2017-02-06 06:30:00+00:00,11.0168445,76.9558321,Tamil Nadu,16.5061743,80.6480153,Andhra Pradesh
376,2017-02-07 06:30:00+00:00,22.8119895,70.8236195,Gujarat,13.0826802,80.2707184,Tamil Nadu
377,2017-02-07 06:30:00+00:00,10.7869994,79.1378274,Tamil Nadu,8.4939339,76.9282948,Kerala
379,2017-02-08 06:30:00+00:00,16.3066525,80.4365402,Andhra Pradesh,10.6572737,77.0106693,Tamil Nadu
378,2017-02-08 06:30:00+00:00,16.3066525,80.4365402,Andhra Pradesh,8.1832857,77.4118996,Tamil Nadu
381,2017-02-08 06:30:00+00:00,16.5061743,80.6480153,Andhra Pradesh,10.7867303,76.6547932,Kerala
380,2017-02-08 06:30:00+00:00,16.8652942,81.9261999,Andhra Pradesh,8.8932118,76.6141396,Kerala
384,2017-02-09 06:30:00+00:00,17.9689008,79.5940544,Telangana,22.6699915,88.9454091,West Bengal
385,2017-02-09 06:30:00+00:00,15.5057232,80.049922,Andhra Pradesh,16.3066525,80.4365402,Andhra Pradesh
382,2017-02-09 06:30:00+00:00,17.0005383,81.8040345,Andhra Pradesh,13.0826802,80.2707184,Tamil Nadu
386,2017-02-09 06:30:00+00:00,13.067205,80.160442,Tamil Nadu,16.311616,80.4262184,Andhra Pradesh
387,2017-02-09 06:30:00+00:00,13.067205,80.160442,Tamil Nadu,16.5061743,80.6480153,Andhra Pradesh
388,2017-02-09 06:30:00+00:00,16.5061743,80.6480153,Andhra Pradesh,26.1445169,91.7362365,Assam
383,2017-02-09 06:30:00+00:00,16.3274353,80.628529,Andhra Pradesh,22.6699915,88.9454091,West Bengal
389,2017-02-11 06:30:00+00:00,16.3066525,80.4365402,Andhra Pradesh,21.0076578,75.5626039,Maharashtra
390,2017-02-11 06:30:00+00:00,16.3066525,80.4365402,Andhra Pradesh,11.664325,78.1460142,Tamil Nadu
391,2017-02-11 06:30:00+00:00,16.8652942,81.9261999,Andhra Pradesh,11.9138598,79.8144722,Puducherry
392,2017-02-11 06:30:00+00:00,20.7014999,81.5541579,Chhattisgarh,17.0005383,81.8040345,Andhra Pradesh
393,2017-02-11 06:30:00+00:00,16.9890648,82.2474648,Andhra Pradesh,21.2513844,81.6296413,Chhattisgarh
394,2017-02-11 06:30:00+00:00,21.2513844,81.6296413,Chhattisgarh,24.6706654,87.9481846,West Bengal
